"combos","SND","SFD","feasibility","LUI"
"Fes_rub.Ran_acr",1.09272659538852,20.4004737644463,1,1
"Fes_rub.Bro_hor",0.955673054344203,16.6475806435227,1,1
"Fes_rub.Pla_lan",1.20463626101129,4.01456107380266,1,1
"Fes_rub.Ach_mil",0.911004784094758,38.8347678901798,1,1
"Fes_rub.Ant_syl",0.917298813461651,2.97581962682084,1,1
"Fes_rub.Her_sph",0.890236220193035,39.1071547081661,1,1
"Fes_rub.Hel_pub",1.19590281364716,13.308176387308,1,1
"Fes_rub.Bra_pin",0.800478705262321,16.7984243945305,1,1
"Fes_pra.Tri_pra",1.04896951328361,41.2050081198269,1,1
"Fes_pra.Ran_rep",1.07290009564059,32.5989815313333,1,1
"Fes_pra.Bro_ere",1.00726772905277,43.1353485662935,1,1
"Fes_pra.Ran_acr",1.0850763717147,30.4424622523669,1,1
"Fes_pra.Bro_hor",1.01900738355931,36.5432471127254,1,1
"Fes_pra.Pla_lan",1.07441333903006,37.0425574757106,1,1
"Fes_pra.Ach_mil",1.10061468207633,22.9077809733508,1,1
"Fes_pra.Ant_syl",1.02243960560962,36.9722317713201,1,1
"Fes_pra.Her_sph",0.949270776164874,34.8357955223969,1,1
"Fes_pra.Hel_pub",1.01497538067063,40.3928007704075,1,1
"Fes_pra.Bra_pin",0.980898864336528,42.4362818676043,1,1
"Tri_pra.Ran_rep",0.951134154114949,36.1161255981397,1,1
"Tri_pra.Bro_ere",0.953317105745993,2.78060765932573,1,1
"Tri_pra.Ran_acr",1.07932106454784,40.5825323251324,1,1
"Tri_pra.Bro_hor",0.994816224617698,33.0867217964629,1,1
"Tri_pra.Pla_lan",1.03703899643299,25.2091776191896,1,1
"Tri_pra.Ach_mil",0.986682084979486,45.1961258340009,0,1
"Tri_pra.Ant_syl",0.953840734871604,27.7387536115538,1,1
"Tri_pra.Her_sph",0.934152573820733,41.7765666496408,1,1
"Tri_pra.Hel_pub",0.925501906071704,4.09384017712686,1,1
"Tri_pra.Bra_pin",0.888666612889864,15.8132481452352,1,1
"Ran_rep.Bro_ere",0.952658584336542,36.5301776937254,1,1
"Ran_rep.Ran_acr",0.938626443190171,4.49343380743215,1,1
"Ran_rep.Bro_hor",1.03538311982269,12.4451125274628,1,1
"Ran_rep.Pla_lan",0.939020420687169,26.9276866415595,1,1
"Ran_rep.Ach_mil",0.963197079352083,37.5997623793109,1,1
"Ran_rep.Ant_syl",0.923586893060223,20.0159922802586,1,1
"Ran_rep.Her_sph",1.04481508488779,44.9662396284975,1,1
"Ran_rep.Hel_pub",0.91745977855797,35.342255305975,1,1
"Ran_rep.Bra_pin",0.944284598363114,30.2609945462068,1,1
"Bro_ere.Ran_acr",0.941864422010774,35.6332783782235,1,1
"Bro_ere.Bro_hor",0.955030162783008,33.7400453515303,1,1
"Bro_ere.Pla_lan",1.00874688250501,27.5446606278337,1,1
"Bro_ere.Ach_mil",0.920274302589328,40.5647538388686,1,1
"Bro_ere.Ant_syl",0.920983770413071,28.7186009957126,1,1
"Bro_ere.Her_sph",0.874557862070342,39.2432476559287,1,1
"Bro_ere.Hel_pub",0.754613247356225,1.04846969192812,1,1
"Bro_ere.Bra_pin",1.37167236062303,38.8132216652306,1,1
"Ran_acr.Bro_hor",1.04321107436514,8.89705279845036,1,1
"Ran_acr.Pla_lan",0.989984255353309,20.351087274351,1,1
"Ran_acr.Ach_mil",1.10800815313041,44.1878605163429,1,1
"Ran_acr.Ant_syl",1.02748387694987,11.4822801363414,1,1
"Ran_acr.Her_sph",1.00549192204727,45.8773921326506,0,1
"Ran_acr.Hel_pub",1.04597708651079,31.0297501836988,1,1
"Ran_acr.Bra_pin",0.963538605002277,29.4396374450984,1,1
"Bro_hor.Pla_lan",1.01331052294991,14.9563483486666,1,1
"Bro_hor.Ach_mil",1.03420304014486,42.4570489951814,1,1
"Bro_hor.Ant_syl",0.957331854323215,11.4862960732938,1,1
"Bro_hor.Her_sph",1.18969319968369,52.4215151467855,1,1
"Bro_hor.Hel_pub",0.914249508954267,31.3238354394281,1,1
"Bro_hor.Bra_pin",0.968963518877088,23.9763004285041,1,1
"Pla_lan.Ach_mil",0.998084909583899,40.6948432343624,1,1
"Pla_lan.Ant_syl",0.965431112132558,8.67197136511083,1,1
"Pla_lan.Her_sph",0.950015739570523,43.3809588623666,0,1
"Pla_lan.Hel_pub",0.983339759500283,20.9228268566662,1,1
"Pla_lan.Bra_pin",0.92487352228858,3.9525804184754,1,1
"Ach_mil.Ant_syl",0.96126284812794,40.1670984064627,1,1
"Ach_mil.Her_sph",0.990568531003713,31.0651865991083,1,1
"Ach_mil.Hel_pub",0.946915324017497,39.2865982060989,1,1
"Ach_mil.Bra_pin",0.937796172701539,44.6470190528865,0,1
"Ant_syl.Her_sph",1.12871363775896,47.3111542425226,1,1
"Ant_syl.Hel_pub",0.916050764823521,27.0003719441724,1,1
"Ant_syl.Bra_pin",0.950350386528008,16.9814705277527,1,1
"Her_sph.Hel_pub",0.987137896272977,44.2347117087481,1,1
"Her_sph.Bra_pin",0.9585918977357,43.742787484226,0,1
"Hel_pub.Bra_pin",0.951113845361052,8.1326211706007,1,1
"Poa_tri.Poa_pra",1.05335970349636,15.6059302369298,1,1.25
"Poa_tri.Alo_pra",1.02154428090196,10.7004367140162,1,1.25
"Poa_tri.Dac_glo",1.00743229879503,23.5586991511987,1,1.25
"Poa_tri.Tri_rep",0.96386597656126,19.0177457715309,1,1.25
"Poa_tri.Arr_ela",0.895332621655925,22.762997761909,1,1.25
"Poa_tri.Fes_rub",0.846308956088012,16.8502049416488,1,1.25
"Poa_tri.Fes_pra",0.982015347654536,36.76074710587,1,1.25
"Poa_tri.Tri_pra",0.957659797087954,7.43131982342952,1,1.25
"Poa_tri.Ran_rep",1.14216873062663,38.3303908439932,1,1.25
"Poa_tri.Bro_ere",0.925305659966232,7.99070770549145,1,1.25
"Poa_tri.Ran_acr",1.18417326562725,50.9047075528659,1,1.25
"Poa_tri.Bro_hor",0.932196127273498,27.5157149016437,1,1.25
"Poa_tri.Pla_lan",0.879044157262479,23.312740636335,1,1.25
"Poa_tri.Ach_mil",0.844520932124238,37.9517514038582,1,1.25
"Poa_tri.Ant_syl",0.863990004123082,29.0350641707852,1,1.25
"Poa_tri.Hel_pub",0.802790765689334,11.7320932889168,1,1.25
"Poa_tri.Bra_pin",0.823994107311817,21.8561881743963,1,1.25
