"combos","SND","SFD","overlap","differential","feasibility","pair_to_all","LUI"
"Pla_lan.Ach_mil.Her_sph",0.865700985147575,32.8944996785743,0.858,-0.026,1,1,0.5
"Pla_lan.Ach_mil.Hel_pub",0.781134085606412,41.8551646911217,0.744,0.021,1,1,0.5
"Pla_lan.Ach_mil.Bra_pin",0.561424901369571,35.2836053322771,0.579,-0.038,1,1,0.5
"Pla_lan.Ant_syl.Her_sph",1.03075760418611,25.9247141657526,0.824,0.03,1,1,0.5
"Pla_lan.Ant_syl.Hel_pub",0.649013343096847,39.6440823230325,0.64,-0.00800000000000001,0,0.666666666666667,0.5
"Pla_lan.Ant_syl.Bra_pin",0.5710997597843,17.8725529089724,0.553,-0.02,1,1,0.5
"Pla_lan.Her_sph.Hel_pub",0.771056914069909,41.9897718918876,0.741,-0.012,0,0.666666666666667,0.5
"Pla_lan.Her_sph.Bra_pin",0.54437512951601,25.1838367268944,0.537,-0.0609999999999999,1,1,0.5
"Pla_lan.Hel_pub.Bra_pin",0.615702926104669,30.9462982894538,0.478,0.0359999999999999,0,1,0.5
"Ach_mil.Ant_syl.Her_sph",1.0528486035696,43.9439273342586,0.828,0.01,1,1,0.5
"Ach_mil.Ant_syl.Hel_pub",0.58820136956782,39.7982098534722,0.547,-0.02,0,0.666666666666667,0.5
"Ach_mil.Ant_syl.Bra_pin",0.882384694878988,34.0681584445008,0.828,-0.033,1,1,0.5
"Ach_mil.Her_sph.Hel_pub",0.703827548499185,43.0163310865465,0.697,-0.0570000000000001,0,0.666666666666667,0.5
"Ach_mil.Her_sph.Bra_pin",0.851655520457843,42.0124336532342,0.856,-0.016,1,1,0.5
"Ach_mil.Hel_pub.Bra_pin",0.837672410608013,30.9557503251196,0.742,-0.037,1,1,0.5
"Ant_syl.Her_sph.Hel_pub",0.6852221033088,39.6080764271221,0.515,0.07,0,0.333333333333333,0.5
"Ant_syl.Hel_pub.Bra_pin",0.653217298892373,29.815638553036,0.571,0.03,0,0.666666666666667,0.5
"Her_sph.Hel_pub.Bra_pin",0.790190594108347,30.8046836619731,0.706,0.00900000000000001,0,0.666666666666667,0.5
"Alo_pra.Dac_glo.Arr_ela",1.23927691124231,26.9547320421828,0.875,0.016,1,1,0.75
"Alo_pra.Dac_glo.Fes_rub",0.917118948565977,50.663586027668,0.672,0.0369999999999999,1,1,0.75
