"Plot"	"Year"	"LUI"	"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_off"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"	"Pha_aru"
"SEG48"	2008	1.36	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
"SEG49"	2008	1.61	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"SEG50"	2008	0.81	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0
"AEG01"	2009	1.78	1	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0
"AEG02"	2009	3.37	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"AEG03"	2009	1.96	1	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0
"AEG04"	2009	1.56	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0
"AEG05"	2009	1.66	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0
"AEG06"	2009	1.91	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0
"AEG07"	2009	0.58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
"AEG08"	2009	1.46	0	1	0	1	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0
"AEG09"	2009	0.51	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0
"AEG10"	2009	1.02	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	0
"AEG11"	2009	2	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0
"AEG12"	2009	2.17	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0
"AEG13"	2009	2.17	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0
"AEG14"	2009	2.17	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0
"AEG15"	2009	2.58	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0
"AEG16"	2009	1.57	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0
"AEG17"	2009	2.07	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0
"AEG18"	2009	2.17	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0
"AEG19"	2009	2.2	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0
"AEG20"	2009	1.19	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0
