"Plot"	"Year"	"LUI"	"rich_full"
"HEG03"	"2011"	2.63	16
"HEG04"	"2011"	2.51	12
"HEG05"	"2011"	2.88	19
"HEG06"	"2011"	1.43	20
"HEG07"	"2011"	2.48	29
"HEG08"	"2011"	1.32	28
"HEG09"	"2011"	0.71	59
"HEG10"	"2011"	1.36	27
"HEG11"	"2011"	1.16	30
"HEG12"	"2011"	2.64	20
"HEG13"	"2011"	1.77	21
"HEG14"	"2011"	2.17	35
"HEG15"	"2011"	2.89	26
"HEG16"	"2011"	1.26	27
"HEG17"	"2011"	0.61	34
"HEG18"	"2011"	0.63	46
"HEG19"	"2011"	0.61	25
"HEG20"	"2011"	1.27	46
"HEG21"	"2011"	0.73	33
"HEG22"	"2011"	1.45	25
"HEG23"	"2011"	1.85	38
"HEG24"	"2011"	2.01	30
"HEG25"	"2011"	1.22	34
"HEG26"	"2011"	1.91	24
"HEG27"	"2011"	1.97	32
"HEG28"	"2011"	2.05	28
"HEG29"	"2011"	2.05	33
"HEG30"	"2011"	2.25	25
"HEG31"	"2011"	2.09	38
"HEG32"	"2011"	1.89	13
"HEG33"	"2011"	2.28	19
"HEG34"	"2011"	1.43	17
"HEG35"	"2011"	1.35	23
"HEG36"	"2011"	2.73	24
"HEG37"	"2011"	2.45	18
"HEG38"	"2011"	1.61	27
"HEG39"	"2011"	1.31	25
"HEG40"	"2011"	1.46	26
"HEG41"	"2011"	1.27	61
"HEG42"	"2011"	0.61	43
"HEG43"	"2011"	0.74	62
"HEG44"	"2011"	0.78	43
"HEG45"	"2011"	0.67	46
"HEG46"	"2011"	1.05	40
"HEG47"	"2011"	1.54	23
"HEG48"	"2011"	1.1	27
"HEG49"	"2011"	2.14	27
"HEG50"	"2011"	1.09	30
"SEG01"	"2011"	2.04	20
"SEG02"	"2011"	1.86	17
"SEG03"	"2011"	2.54	16
"SEG04"	"2011"	1.17	14
"SEG05"	"2011"	0.97	21
"SEG06"	"2011"	1.59	17
"SEG07"	"2011"	2.06	17
"SEG08"	"2011"	1.08	17
"SEG09"	"2011"	1.87	18
"SEG10"	"2011"	2.04	14
"SEG11"	"2011"	2.04	23
"SEG12"	"2011"	2.04	16
"SEG13"	"2011"	1.66	31
"SEG14"	"2011"	0.95	15
"SEG15"	"2011"	1.37	23
"SEG16"	"2011"	1.66	16
"SEG17"	"2011"	1.26	21
"SEG18"	"2011"	1.37	21
"SEG19"	"2011"	1.32	15
"SEG20"	"2011"	1.73	17
"SEG21"	"2011"	1.33	20
"SEG22"	"2011"	1.86	23
"SEG23"	"2011"	1.72	14
"SEG24"	"2011"	0.97	18
"SEG25"	"2011"	1.37	26
"SEG26"	"2011"	1.42	15
"SEG27"	"2011"	0.97	15
"SEG28"	"2011"	0.97	18
"SEG29"	"2011"	0.97	23
"SEG30"	"2011"	1.37	18
"SEG31"	"2011"	1.37	21
"SEG32"	"2011"	1.37	20
"SEG33"	"2011"	2.04	25
"SEG34"	"2011"	1.92	29
"SEG35"	"2011"	2.07	20
"SEG36"	"2011"	1.17	24
"SEG37"	"2011"	1.99	24
"SEG38"	"2011"	1.96	24
"SEG39"	"2011"	1.29	25
"SEG40"	"2011"	2.22	23
"SEG41"	"2011"	1.61	17
"SEG42"	"2011"	2.09	25
"SEG43"	"2011"	2.03	21
"SEG44"	"2011"	1.23	22
"SEG45"	"2011"	1.68	25
"SEG46"	"2011"	2.06	21
"SEG47"	"2011"	1.65	17
"SEG48"	"2011"	1.45	27
"SEG49"	"2011"	1.32	30
"SEG50"	"2011"	1.39	22
"AEG01"	"2012"	2.35	29
"AEG02"	"2012"	2.84	0
"AEG03"	"2012"	1.1	29
"AEG04"	"2012"	1.84	23
"AEG05"	"2012"	1.74	24
"AEG06"	"2012"	2.26	31
"AEG07"	"2012"	0.53	44
"AEG08"	"2012"	1.19	45
"AEG09"	"2012"	0.72	45
"AEG10"	"2012"	0.97	48
"AEG11"	"2012"	2.15	28
"AEG12"	"2012"	2.22	27
"AEG13"	"2012"	2	19
"AEG14"	"2012"	2.53	25
"AEG15"	"2012"	3.09	26
"AEG16"	"2012"	1.5	34
"AEG17"	"2012"	1.72	33
"AEG18"	"2012"	2.53	24
"AEG19"	"2012"	1.72	20
"AEG20"	"2012"	0.8	25
"AEG21"	"2012"	2.29	25
"AEG22"	"2012"	1.09	45
"AEG23"	"2012"	1.72	28
"AEG24"	"2012"	2.35	22
"AEG25"	"2012"	0.56	49
"AEG26"	"2012"	1.47	44
"AEG27"	"2012"	1.01	45
"AEG28"	"2012"	1.38	58
"AEG29"	"2012"	1.34	40
"AEG30"	"2012"	1.68	37
"AEG31"	"2012"	1.52	34
"AEG32"	"2012"	0.99	31
"AEG33"	"2012"	1.07	37
"AEG34"	"2012"	1.55	28
"AEG35"	"2012"	1.95	27
"AEG36"	"2012"	1.75	27
"AEG37"	"2012"	2.08	23
"AEG38"	"2012"	1.37	29
"AEG39"	"2012"	2	21
"AEG40"	"2012"	1.94	32
"AEG41"	"2012"	2.7	27
"AEG42"	"2012"	2.22	28
"AEG43"	"2012"	1.05	19
"AEG44"	"2012"	1.27	32
"AEG45"	"2012"	1.68	21
"AEG46"	"2012"	1.29	29
"AEG47"	"2012"	0.72	43
"AEG48"	"2012"	0.63	40
"AEG49"	"2012"	1.18	42
"AEG50"	"2012"	1.56	19
"HEG01"	"2012"	2.77	20
"HEG02"	"2012"	2.42	21
"HEG03"	"2012"	2.6	15
"HEG04"	"2012"	1.5	14
"HEG05"	"2012"	2.84	25
"HEG06"	"2012"	1.49	25
"HEG07"	"2012"	1.7	36
"HEG08"	"2012"	0.8	31
"HEG09"	"2012"	0.56	59
"HEG10"	"2012"	1.04	29
"HEG11"	"2012"	0.97	22
"HEG12"	"2012"	2.96	23
"HEG13"	"2012"	1.74	21
"HEG14"	"2012"	2.66	36
"HEG15"	"2012"	2.74	26
"HEG16"	"2012"	1.59	28
"HEG17"	"2012"	0.7	35
"HEG18"	"2012"	0.81	45
"HEG19"	"2012"	0.7	29
"HEG20"	"2012"	1.53	54
"HEG21"	"2012"	0.86	31
"HEG22"	"2012"	1.45	21
"HEG23"	"2012"	1.19	30
