"Plot"	"Year"	"LUI"	"rich_26spp"
"SEG14"	"2010"	0.97	11
"SEG15"	"2010"	1.4	12
"SEG16"	"2010"	0.99	9
"SEG17"	"2010"	1.35	10
"SEG18"	"2010"	1.4	7
"SEG19"	"2010"	1.23	8
"SEG20"	"2010"	1.49	10
"SEG21"	"2010"	1.43	8
"SEG22"	"2010"	2.71	14
"SEG23"	"2010"	1.69	7
"SEG24"	"2010"	0.99	10
"SEG25"	"2010"	1.4	11
"SEG26"	"2010"	1.69	8
"SEG27"	"2010"	0.99	6
"SEG28"	"2010"	0.99	10
"SEG29"	"2010"	0.99	11
"SEG30"	"2010"	1.4	11
"SEG31"	"2010"	1.4	11
"SEG32"	"2010"	1.4	10
"SEG33"	"2010"	1.56	12
"SEG34"	"2010"	1.88	11
"SEG35"	"2010"	1.91	12
"SEG36"	"2010"	1.61	11
"SEG37"	"2010"	1.47	12
"SEG38"	"2010"	1.71	9
"SEG39"	"2010"	1.51	10
"SEG40"	"2010"	2.05	12
"SEG41"	"2010"	1.65	9
"SEG42"	"2010"	2.46	12
"SEG43"	"2010"	2.02	11
"SEG44"	"2010"	0.9	12
"SEG45"	"2010"	1.31	13
"SEG46"	"2010"	2.09	9
"SEG47"	"2010"	2.34	12
"SEG48"	"2010"	1.86	9
"SEG49"	"2010"	1.78	12
"SEG50"	"2010"	1.19	13
"AEG01"	"2011"	1.78	14
"AEG02"	"2011"	3.11	10
"AEG03"	"2011"	1.67	14
"AEG04"	"2011"	2.19	14
"AEG05"	"2011"	2.25	13
"AEG06"	"2011"	1.78	17
"AEG07"	"2011"	0.44	6
"AEG08"	"2011"	1.2	13
"AEG09"	"2011"	0.73	6
"AEG10"	"2011"	0.97	12
"AEG11"	"2011"	2.39	6
"AEG12"	"2011"	2.28	16
"AEG13"	"2011"	2.28	13
"AEG14"	"2011"	2.23	14
"AEG15"	"2011"	2.33	13
"AEG16"	"2011"	1.54	17
"AEG17"	"2011"	1.67	14
"AEG18"	"2011"	2.23	15
"AEG19"	"2011"	1.77	13
"AEG20"	"2011"	1.04	13
"AEG21"	"2011"	2.97	15
"AEG22"	"2011"	1.08	11
"AEG23"	"2011"	1.67	14
"AEG24"	"2011"	2.24	16
"AEG25"	"2011"	0.57	10
"AEG26"	"2011"	1.49	5
"AEG27"	"2011"	0.93	5
"AEG28"	"2011"	0.86	14
"AEG29"	"2011"	1.61	14
"AEG30"	"2011"	1.56	14
"AEG31"	"2011"	1.39	15
"AEG32"	"2011"	0.67	15
"AEG33"	"2011"	1.08	13
"AEG34"	"2011"	1.55	15
"AEG35"	"2011"	1.65	16
"AEG36"	"2011"	1.65	11
"AEG37"	"2011"	2.02	14
"AEG38"	"2011"	1.72	13
"AEG39"	"2011"	2.48	11
"AEG40"	"2011"	2.22	14
"AEG41"	"2011"	2.76	14
"AEG42"	"2011"	2.07	15
"AEG43"	"2011"	1.18	14
"AEG44"	"2011"	1.16	17
"AEG45"	"2011"	1.67	9
"AEG46"	"2011"	1.4	14
"AEG47"	"2011"	0.72	6
"AEG48"	"2011"	0.64	6
"AEG49"	"2011"	1.08	12
"AEG50"	"2011"	1.98	13
"HEG01"	"2011"	2.85	8
"HEG02"	"2011"	2.63	5
"HEG03"	"2011"	2.63	8
"HEG04"	"2011"	2.51	6
"HEG05"	"2011"	2.88	9
"HEG06"	"2011"	1.43	10
"HEG07"	"2011"	2.48	11
"HEG08"	"2011"	1.32	14
"HEG09"	"2011"	0.71	16
"HEG10"	"2011"	1.36	13
"HEG11"	"2011"	1.16	14
"HEG12"	"2011"	2.64	9
"HEG13"	"2011"	1.77	13
"HEG14"	"2011"	2.17	16
"HEG15"	"2011"	2.89	15
"HEG16"	"2011"	1.26	14
"HEG17"	"2011"	0.61	15
"HEG18"	"2011"	0.63	11
"HEG19"	"2011"	0.61	11
"HEG20"	"2011"	1.27	15
"HEG21"	"2011"	0.73	14
"HEG22"	"2011"	1.45	14
"HEG23"	"2011"	1.85	14
"HEG24"	"2011"	2.01	16
"HEG25"	"2011"	1.22	13
"HEG26"	"2011"	1.91	11
"HEG27"	"2011"	1.97	15
"HEG28"	"2011"	2.05	12
"HEG29"	"2011"	2.05	12
"HEG30"	"2011"	2.25	11
"HEG31"	"2011"	2.09	15
"HEG32"	"2011"	1.89	6
"HEG33"	"2011"	2.28	13
"HEG34"	"2011"	1.43	7
"HEG35"	"2011"	1.35	12
"HEG36"	"2011"	2.73	11
"HEG37"	"2011"	2.45	9
"HEG38"	"2011"	1.61	13
"HEG39"	"2011"	1.31	11
"HEG40"	"2011"	1.46	14
"HEG41"	"2011"	1.27	17
"HEG42"	"2011"	0.61	15
"HEG43"	"2011"	0.74	15
"HEG44"	"2011"	0.78	11
"HEG45"	"2011"	0.67	18
"HEG46"	"2011"	1.05	13
"HEG47"	"2011"	1.54	13
"HEG48"	"2011"	1.1	13
"HEG49"	"2011"	2.14	17
"HEG50"	"2011"	1.09	13
"SEG01"	"2011"	2.04	11
"SEG02"	"2011"	1.86	8
"SEG03"	"2011"	2.54	9
"SEG04"	"2011"	1.17	8
"SEG05"	"2011"	0.97	10
"SEG06"	"2011"	1.59	6
"SEG07"	"2011"	2.06	9
"SEG08"	"2011"	1.08	10
"SEG09"	"2011"	1.87	9
"SEG10"	"2011"	2.04	7
"SEG11"	"2011"	2.04	12
"SEG12"	"2011"	2.04	10
"SEG13"	"2011"	1.66	17
"SEG14"	"2011"	0.95	10
"SEG15"	"2011"	1.37	12
"SEG16"	"2011"	1.66	8
"SEG17"	"2011"	1.26	9
"SEG18"	"2011"	1.37	10
"SEG19"	"2011"	1.32	9
"SEG20"	"2011"	1.73	10
"SEG21"	"2011"	1.33	9
"SEG22"	"2011"	1.86	14
"SEG23"	"2011"	1.72	6
"SEG24"	"2011"	0.97	8
"SEG25"	"2011"	1.37	12
"SEG26"	"2011"	1.42	8
"SEG27"	"2011"	0.97	6
"SEG28"	"2011"	0.97	9
"SEG29"	"2011"	0.97	15
"SEG30"	"2011"	1.37	11
"SEG31"	"2011"	1.37	11
"SEG32"	"2011"	1.37	10
"SEG33"	"2011"	2.04	13
"SEG34"	"2011"	1.92	12
"SEG35"	"2011"	2.07	10
"SEG36"	"2011"	1.17	12
"SEG37"	"2011"	1.99	9
"SEG38"	"2011"	1.96	8
"SEG39"	"2011"	1.29	11
"SEG40"	"2011"	2.22	10
